registration, trailer_type,year,built_for,model_no,chassis_number,wip,mtm_gcm,gvw_atm,tare,brake_valves_type,suspension_type_and_component_part_no,axle,rare_suspension,rare_axle,hub,bearing_inner,bearing_outer,seal,drum,shoe_kit,brake_size,brake_linning,brake_shoe_type,s_cam_bush_kit,s_cam_size_and_part_no,brake_booster_type_and_size,tyre_type_and_size,wheel_type_and_size,landing_legs_type_and_component_part_no,king_pin_type_and_serial_no,rubplate_type_and_component_no,tow_eye_type_and_component_no,draw_bar_type_and_component_no,air_tanks_size_and_type_and_part_no,hoist_type_and_part_no,suspension_cylinders_component_no,ballrace_type_and_part_no,fith_wheel_type_and_part_no,ramps_size_and_component_no,ramps_cylinders,widening_box_component_no,widening_box_cylinder,widening_wings_component_no,widening_wings_cylinder,gooseneck_component_no,gooseneck_cylinder,powerpack, draw_bar_bushes
 ,3R4 Semi Lowloader (Mechanical Susp),77,J.B.Richardson (Ben),MTE9/77,12RC3A25,,,"28,000kg",6330kg,RE6 Bendix,Compensating Beam,"15"" Moss Ten Stud",,,Ten Stud,"HM218248, HM218210","KJH211749, KJH211710",CR46305,,,"12-1/4 x 7-1/2""",MQ3 & 4,Moss,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,,
,2 Axle Pig Tipper,77,W.D.Tuck,MTE10/77,1BPW2A10,,,,2520kg,,Unknown spring,"20"" BPW",,,Ten Stud English,,,,,,,,,,,,900 x 20,,,,,40mm,,,,,,,,,,,,,,,We made a bin and fitted to old trailer,
,1 Axle Semi Flat Top,77,Warren Virtue,MTE11/77,1HDSF42,,,,,RE6 Bendix,Dayton (now Dana),"15"" Hunton",,,Ten Stud,"HM218248, HM218210","H212749, KJH212710",CR46305,,,"12-1/4 x 7-1/2""",,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,Made as a car transporter with cheka deck,
24DUQ,"2axle Dog 16'0""Tipper",77,Dryland Farms,MTE12/77,SRRHT14,,,,3190kg,PBR ,Rubery Owen 8 leaf,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,4451 Edbro,,,HE12/1000 Jost,,,,,,,,,,"1"" Shackle Pins"
,"2axle Dog 16'0""Tipper",77,Mineral Haulage,MTE13/77,RR2020,,,, ,PBR ,Rubery Owen 8 leaf,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,"2""",, , ,MTE Made,5460 Edbro,,, ,,,,,,,,, Ian Rorison A Trailer on 4x2 Kenworth, 
 ,"2axle Dog 16'0""Tipper",77,Mineral Haulage,MTE14/77,5RRHT14,,,,3190kg,PBR ,Rubery Owen 8 leaf,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,4451 Edbro,,,HE12/1000 Jost,,,,,,,,, Ian Rorison A Trailer on 4x2 Kenworth,"1"" Shackle Pins"
44DUQ,"2 Axle 24' 0"" Semi Ribbed Tipper",77,Whitehall Quarries,MTE15/77,2MDHT22,,,"27,000kg", ,PBR ,Dayton (now Dana),"20"" Moss",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,70SU Edbro,,,,,,,,,,,, ,
 ,3R4 Semi Lowloader (Mechanical Susp),77,Costal Freighters,MTE16/77,13MC3A25,,,"28,000kg",6330kg,RE6 Bendix,Compensating Beam,"15"" Moss Ten Stud",,,Ten Stud,"HM218248, HM218210","KJH211749, KJH211710",CR46305,,,"12-1/4 x 7-1/2""",MQ3 & 4,Moss,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,,
,"2axle  24' 0"" Dog Flat Top",77,P.Hale Transport,MTE17/77,2RRF24,,,,3350kg,PBR ,Rubery Owen 8 leaf,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,,,,HE12/1000 Jost,,,,,,,,,"Steel deck 24'0""","1"" Shackle Pins"
,2 Axle Semi Tipper (lyeten),77,Dawe and Sons,MTE18/77,2RR2220,,,24000kg,,PBR ,Rubery Owen 8 leaf 1.24m spaced,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,5460 Edbro,,,,,,,,,,,,,
,2 Axle Semi Lowloader (walking beam),77,N.Z.Army,MTE19/77,2R2A16,,,"20,000kg",,RE6 Bendix,Walking Beam 1800mm,"15"" Ruber Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,1st trailer of 4  (prototype)  3 - R5 rubber bushes each side,
,2 Axle Semi Tilt Deck (Beam Susp),77,Purdie and Sherson,MTE20/77,4RT2A26,,,"22,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Ruber Owen Rockwell Spoked  MTE imported ex Aust ",,,3 Spoke,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made,"23"" C/C",,,,,,,,,,,,"made with 21'0"" tilting and 5'0"" fixed botom deck with no top deck",
