registration, trailer_type,year,built_for,model_no,chassis_number,wip,mtm_gcm,gvw_atm,tare,brake_valves_type,suspension_type_and_component_part_no,axle,rare_suspension,rare_axle,hub,bearing_inner,bearing_outer,seal,drum,shoe_kit,brake_size,brake_linning,brake_shoe_type,s_cam_bush_kit,s_cam_size_and_part_no,brake_booster_type_and_size,tyre_type_and_size,wheel_type_and_size,landing_legs_type_and_component_part_no,king_pin_type_and_serial_no,rubplate_type_and_component_no,tow_eye_type_and_component_no,draw_bar_type_and_component_no,air_tanks_size_and_type_and_part_no,hoist_type_and_part_no,suspension_cylinders_component_no,ballrace_type_and_part_no,fith_wheel_type_and_part_no,ramps_size_and_component_no,ramps_cylinders,widening_box_component_no,widening_box_cylinder,widening_wings_component_no,widening_wings_cylinder,gooseneck_component_no,gooseneck_cylinder,powerpack, draw_bar_bushes
,"2axle  24' 0"" Dog Flat Top",77,Pearses Transport,MTE21/77,2RRF24,,,"16,000kg",3350kg,PBR ,Rubery Owen 8 leaf,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,,,,HE12/1000 Jost,,,,,,,,,"Steel deck 24'0""","1"" Shackle Pins"
,2 Axle Semi Tipper (lyeten),77,RJ & C Adam,MTE22/77,RR2220,,,24000kg,,PBR ,Rubery Owen 8 leaf 1.24m spaced,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,5460 Edbro,,,,,,,,,,,,,
,"2axle  24' 0"" Dog Flat Top",77,Ted Murray,MTE23/77,3RTF24,,,"16,000kg",3350kg,PBR ,Transpro 8 leaf  ,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,,,,HE12/1000 Jost,,,,,,,,,"Steel deck 24'0""","1"" Shackle Pins"
,2 Axle Semi Tipper (lyeten),77,Jack Prince,MTE24/77,2DT2220,,,24000kg,,PBR ,Transpro 8 leaf 1.24 spaced,"20""Dana",,,Ten Stud English,,,,,,"16-1/2"" x 7""",,,,,Type 24/24,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,5460 Edbro,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 axle pig tilt deck,78,N.Z. Electricity Department,MTE1/78,3T2A18,,,,,RE6 Bendix,"Walking Beam 48""","15"" Tanner",,,Ten Stud,"K580, K572X","K567A,  K563",CR43691,10 Stud,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24/24,825 x 15 x 14ply,15 x 6.5 ,,,,40mm,,MTE Made,,,,,,,,,,,,, ,
,2 axle pig tilt deck,78,N.Z. Electricity Department,MTE2/78,4T2A18,,,,,RE6 Bendix,"Walking Beam 48""","15"" Tanner",,,Ten Stud,"K580, K572X","K567A,  K563",CR43691,10 Stud,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24/24,825 x 15 x 14ply,15 x 6.5 ,,,,40mm,,MTE Made,,,,,,,,,,,,, ,
,3 axle pig tilt deck,78,J.T.Webb,MTE3/78,3TT3A23,,,"22,500kg",,RE6 Bendix,Compensating Beam,"15"" Tanner 8tonne",,,5 Spoke,,,,,,"12-1/4 x 6""",,,,,Type 24/24,825 x 15 x 14ply,15 x 6.5 ,,,,5 tonne transfer hook,,MTE Made,,,,,,,,,,,,, ,
,2 Axle Semi Tipper (lyeten),78,Jack Shaw,MTE4/78,3RD2420,,,20000kg,,PBR ,Dayton (now Dana) 1.24 spaced,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,5460 Edbro,,,,,,,,,,,,"1st 24'0"" tipper becase of 2nd to last axle measurements",
,"2axle  24' 0"" Dog Flat Top",78,Kirk & Graham Transport,MTE5/78,4DRF24,,,"16,000kg",3350kg,PBR ,Rubery Owen 8 leaf,"20"" Moss",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,,,,HE12/1000 Jost,,,,,,,,,"Steel deck 24'0""","1"" Shackle Pins"
,2 axle pig tilt deck,78,Northland Road Builders,MTE6/78,5T2A18,,, ,,RE6 Bendix,"Walking Beam 48""","15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24/24,825 x 15 x 14ply,15 x 6.5 rim,,,,40mm,,MTE Made,,,,,,,,,,,,, ,
,2 axle pig tilt deck,78,Hamilton Hire,MTE7/78,5T2A16,,,6000kg,1960kg,RE6 Bendix,"Walking Beam 48""","15"" Tanner 4-1/2 tonne single tyre",,,6 stud,30211,30208,AX4568,12-1/4 x 4,,"12-1/4 x 4""",TA5407,Tanner,,10 spline,Type 12/16,825 x 15 x 14ply,15 x 6.5 rim centre knave,,,,40mm,,MTE Made,,,,,,,,,,,,,1st forklift transporter steel deck load between the wheels,
,,78,,MTE8/78,3YD2220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unknown looks like a  22'0"" semi tipper with york axles and dana suspension",
,2 Axle Semi Lowloader (walking beam),78,N.Z.Army,MTE9/78,3R2A16,,,"20,000kg",,RE6 Bendix,Walking Beam 1800mm,"15"" Ruber Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,2nd trailer of 4                 3 - R5 rubber bushes each side,
,2 Axle Semi Lowloader (walking beam),78,N.Z.Army,MTE10/78,4R2A16,,,"20,000kg",,RE6 Bendix,Walking Beam 1800mm,"15"" Ruber Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,3rd trailer of 4                   3 - R5 rubber bushes each side,
,2 Axle Semi Lowloader (walking beam),78,N.Z.Army,MTE11/78,5R2A16,,,"20,000kg",,RE6 Bendix,Walking Beam 1800mm,"15"" Ruber Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,4th trailer of 4                    3 - R5 rubber bushes each side,
,3 axle Dog Flat Top,78,Kearns Brothers,MTE12/78,3TD3F27,,,"20,000kg", ,PBR ,Rubery Owen 8 leaf,"20"" Moss",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,,,,HE12/1000 Jost,,,,,,,,,"Steel deck 27'0"" steel deck stock trailer","1"" Shackle Pins"
,2 Axle Semi Tipper (lyeten),78,J.P Ewart,MTE13/78,3RD2420,,,20000kg,,PBR ,Dayton (now Dana) 1.24 spaced,"20"" Tanner ISO",,,Ten Stud English,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,5460 Edbro,,,,,,,,,,,,"  24'0"" tipper becase of 2nd to last axle measurements",
84FNA,1 axle semi flat top,78,Whirlings Circus,MTE14/78,1TS26,,,"16,000kg",,PBR ,Dayton (now Dana)  ,"20"" Tanner ISO",,,Ten Stud English,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,,,,,,,,,,,,,,
86FNA,3 Rows eight transporter      (1st 3R8 Transporter fixed width ),78,G.A.Renner,MTE15/78,1T84631,,,"46,000kg",,RE6 Bendix,MTE Hydraulic,"15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 rim,,"3-1/2""",,,,MTE Made,,,,,,,,,,,,,1st 3 rows eight transporter,
,2 axle pig tilt deck,78,Reliable Roads,MTE16/78,7T2A16,,,6000kg, 1960kg,RE6 Bendix,"Walking Beam 48""","15"" Tanner 4-1/2 tonne single tyre",,,6 stud,,,,,,"12-1/4 x 4""", ,,,,Type 12/16,825 x 15 x 14ply,15 x 6.5 rim centre knave,,,,40mm,,MTE Made,,,,,,,,,,,,,  forklift transporter steel deck load between the wheels for milling machine,
 ,3R4 Semi LowLoader (Mechanical Susp),78,Ace Building Company,MTE17/78,14TC3A25,,,"28,000kg",6330kg,RE6 Bendix,Compensating Beam,"15"" Tanner Ten Stud",,,Spoked,,,,,,"12-1/4 x 6""",TA62/1 ,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 rim,,"2""",,,,MTE Made,,,,,,,,,,,,,,
,"2 axle 22' 0"" Semi  Ribbed Tipper  ",78,Purdie and Sherson,MTE18/78,3TDHT22,,,"25,000kg",,PBR ,Dayton (now Dana) 1.24 spaced,"20"" Tanner ISO",,,Ten Stud English,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,70SU Edbro,,,,,,,,,,,,"  24'0"" tipper becase of 2nd to last axle measurements",
,,78,P.J.Cameron,MTE19/78,2TSDF28,,,,4520kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,2 axle  gooseneck semi ,78,Whirlings Circus (Elephant),MTE20/78,1W2A36,,,"18,000kg",,RE6 Bendix,Dayton (now Dana)  ,"16"" Walker hydraulic brakes",,,6 Stud  Bedford,,,,,, ,,,,,CA14,825 x 16,"16""",,"2""",,,,MTE Made,,,,,,,,,,,,,Elephant wagon,
,1 Row eight Dolly                                 (1st 1R8 Dolly),78,G.A.Renner,MTE21/78,1T88,,,"12,000kg",,RE6 Bendix,MTE occilator,"15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 rim,,"3-1/2""",,,,MTE Made,,,,Davies 530,,,,,,,,,1st 1 row eight dolly,
,"2 axle 22' 0"" Semi  Ribbed Tipper  ",78,Hastings Demolition,MTE22/78,4TDHT22,,,"25,000kg",,PBR ,Dayton (now Dana) 1.24 spaced,"20"" Tanner ISO",,,Ten Stud English,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,70SU Edbro,,,,,,,,,,,,"  24'0"" tipper becase of 2nd to last axle measurements",
66FNC,2 axle pig tilt deck,78,G.N.Brown,MTE23/78,5T2A20,,,"15,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24/24,825 x 15 x 14ply,15 x 6.5 ,,,,5 tonne transfer hook,,MTE Made,,,,,,,,,,,,, ,
,2 Axle Semi Tipper (lyeten),78,A .F.Porter,MTE24/78,WP281,,,20000kg,,PBR , ,"20"" ATN Rockwell",,,5 Spoke,"HM218248, HM218210","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,5460 Edbro,,,,,,,,,,,,Reconditioned for Porters in 1978 Rebuilt in 1986 for Ray Bull,
25FUE,3R4 Hydraulic Suspension    (1st 3R4 Hydraulic susp  low Loader),78,Kerepehi Transport,MTE25/78,2T43022,,,"25,000kg",,RE6 Bendix,MTE 3R4 Hydraulic deep Beam ,"15"" Tanner  10 stud",,,Ten Stud English,"K580, K572X","K567A,  K563",CR43691,Ten stud ,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24/24,825 x 15 x 14ply,15 x 6.5  x ten stud english,,"2""",,,,MTE Made,,,,,,,,,,,,,"2nd  3R4 Hydraulic suspension transporter 1800  axle spacing 7 "" side rail",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,3R4 Semi LowLoader (Mechanical Susp),79,Ramsey and son,MTE1/79,15TC3A25,,,"28,000kg",6330kg,RE6 Bendix,Compensating Beam,"15"" Tanner Ten Stud",,,Spoked,,,,,,"12-1/4 x 6""",TA62/2,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 rim,,"2""",,,,MTE Made,,,,,,,,,,,,,,
 ,3R4 Hydraulic Suspension,79,Swap contractors,MTE2/79,3T43022,,,"25,000kg",,RE6 Bendix,MTE 3R4 Hydraulic deep Beam,"15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24/24,825 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made,,,,,,,,,,,,,2nd 3R4 Hydraulic suspension transporter 1800  axle spacing,
80GZD,2 axle pig tilt deck,79,N.Z. Electricity Department,MTE3/79,7T2A18,,,"12,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24/24,825 x 15 x 14ply,15 x 6.5 rim,,,,40mm,,MTE Made,,,,,,,,,,,,, ,
,2 axle pig tilt deck,79,N.Z. Electricity Department,MTE4/79,6T2A18,,,"12,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24/24,825 x 15 x 14ply,15 x 6.5 rim,,,,40mm,,MTE Made,,,,,,,,,,,,, ,
,3 axle Dog Flat Top,79,Kirk and graham,MTE5/79,3TSD3F27,,,"22,000kg", ,PBR ,Rubery Owen 8 leaf,"20"" Moss",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,,,,HE12/1000 Jost,,,,,,,,,"Steel deck 27'0"" steel deck stock trailer","1"" Shackle Pins"
87FUF,3 Rows eight transporter,79,Earthmovers Waikato ,MTE6/79,2T84631,,,"46,000kg",,RE6 Bendix,MTE Hydraulic,"15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 rim,,"3-1/2""",,,,MTE Made,,,,,,,,,,,,,2nd 3 rows eight transporter,
,1 Row eight Dolly,79,Earthmovers Waikato ,MTE7/79,2T88,,,"12,000kg",,RE6 Bendix,MTE occilator,"15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 rim,,"3-1/2""",,,,MTE Made,,,,Davies 530,,,,,,,,,2nd 1 row eight dolly,
,2 axle pig tilt deck,79,Peter Newson,MTE8/79,7T2A18,,,"12,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24/24,825 x 15 x 14ply,15 x 6.5 rim,,,,40mm,,MTE Made,,,,,,,,,,,,, ,
79GZD,3 axle Dog Flat Top Tipper,79,Murray Hart,MTE9/79,3TDT18,,,"20,000kg", ,PBR ,Dayton (now Dana) 1.24 spaced,"20"" Tanner ISO",,,Ten Stud English,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,5SL Edbro,,,HE12/1000 Jost,,,,,,,,,"Steel deck 18'0"" steel deck pressed Vee sides FOB hoist","1"" Shackle Pins"
 ,3R4 Semi LowLoader (Mechanical Susp),79,Parata,MTE10/79,16TC3A25,,,"22,000kg",6330kg,RE6 Bendix,Compensating Beam,"15"" Tanner Ten Stud",,,Spoked,,,,,,"12-1/4 x 6""",TA62/3,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 rim,,"2""",,,,MTE Made,,,,,,,,,,,,,,
,2 axle pig tilt deck,79,Colin Moreland,MTE11/79,8T2A18,,,"14,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24/24,825 x 15 x 14ply,15 x 6.5 rim,,,,40mm,,MTE Made,,,,,,,,,,,,, ,
83GZE,2 axle pig tilt deck,79,Waikato  bitumen,MTE12/79,9T2A18,,,"14,000kg",3500,RE6 Bendix,"Walking Beam 48""","15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24/24,825 x 15 x 14ply,15 x 6.5 rim,,,,40mm,,MTE Made,,,,,,,,,,,,, ,
,2 Axle Semi Tilt Deck (Beam Susp),79,W.L.Ridd,MTE13/79,5TT2A26,,,"20,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"made with 21'0"" tilting and 5'0"" fixed botom deck with top deck",
97GZE,2 Axle Semi Tilt Deck (Beam Susp),79,RL & CJ Hall,MTE14/79,6TT2A26,,,"20,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"made with 21'0"" tilting and 5'0"" fixed botom deck with top deck",
M2701,2 Axle Semi Tilt Deck (Beam Susp),79,Bill Carroll,MTE15/79,7TT2A26,,,"20,000kg",5440kg,RE6 Bendix,"Walking Beam 48""","15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"made with 21'0"" tilting and 5'0"" fixed botom deck with no  top deck Sold to Deric M'Clean",
 ,2 Axle Semi Tilt Deck (Beam Susp),79,R.R.Ratcliffe,MTE16/79,2TT2A41,,,"20,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"made with 26'0"" tilting botom deck with top deck",
 ,2 Axle Semi Tilt Deck (Beam Susp),79,Waikato  bitumen,MTE17/79,TT2ATT,,,"20,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"made with 22'0"" tilting botom deck with top deck",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,3A Dog Flat Top Tipper,80,Senton sawmills,MTE1/80,TD18SP,,,"20,000kg", ,PBR ,Dayton (now Dana) 1.24 spaced,"20"" Tanner ISO",,,Ten Stud English,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,Underbody Edbro,,,HE12/1000 Jost,,,,,,,,,Underbody flat top tipper,"1"" Shackle Pins"
,2A Pig Tilt Deck - NZ,80,Hamilton Hire,MTE2/80,10T2A18,,,"14,500kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24/24,825 x 15 x 14ply,15 x 6.5 rim,,,,40mm,,MTE Made,,,,,,,,,,,,, ,
 ,2 Axle Semi Tilt Deck (Beam Susp) - NZ,80,White trenching,MTE3/80,8TT2A26,,,"20,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made,  ,,,,,,,,,,,, ,
 ,2 Axle Semi Tilt Deck (Beam Susp) - NZ,80,Waikato  bitumen,MTE4/80,9'TT2A26,,,"20,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"made with 22'0"" tilting botom deck with top deck",
 99HHD,2 Axle Semi Tilt Deck (Beam Susp) - NZ,80,Derick Marsh,MTE5/80,10TT2A26,,,"20,000kg",5440kg,RE6 Bendix,"Walking Beam 48""","15"" Tanner  5 spoked",,,5 Spoke,"K580, K572X","K567A,  K563",CR43691,5 spoke,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"made with 21'0"" tilting and 5'0"" fixed botom deck with no  top deck",
22HMZ -'5108G,2 Axle Semi Tilt Deck (Beam Susp) - NZ,80,Waikato  bitumen,MTE680,11IT2A26,,,"20,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Ingersol  3 spoked",,,3 Spoke,"HM218248, HM218210","H212749, KJH212710",CR46305,,,"12-1/4 x 7-1/2""",,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,Deregisterd 1997 and given new Vin see chassis book,
36HMZ ,2 Axle Semi Tilt Deck (Beam Susp) - NZ,80,McKnight Excavators,MTE7/80,12MT2A26,,,"20,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Moss ten stud",,,Ten Stud,"HM218248, HM218210","KJH211749, KJH211710",CR46305,,,"12-1/4 x 7-1/2""",MQ3 & 4,Moss,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,, ,
69HMZ,3R4 Semi LowLoader (Mechanical Susp) - NZ,80,Yelavitch Brothers,MTE8/80,17IC3A25,,,"22,000kg",6330kg,RE6 Bendix,Compensating Beam,"15"" Ingersol  3 spoked",,,Spoked,"HM218248, HM218210",212049 -212011,CR46305,63637 Webb,,"12-1/4 x 7-1/2""",4591,E-2394,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 rim,,"2""",,,,MTE Made,,,,,,,,,,,,,,
 ,2A Semi Tilt Deck (Beam Susp),80,Tacons Transport,MTE9/80,11T2A26,,,"18,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Moss ten stud",,,Ten Stud,"HM218248, HM218210","KJH211749, KJH211710",CR46305,,,"12-1/4 x 7""",MQ3 & 4,Moss,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,, ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,3R4 Semi LowLoader (Mechanical Susp),81,Earl Reid,MTE1/81,18RC3A25,,,"22,000kg",6330kg,RE6 Bendix,Compensating Beam,"15"" Rubery Owen Rockwell",,,Ten Stud,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 rim,,"2""",,,,MTE Made,,,,,,,,,,,,, Double angle neck,
26JFY  1359H,3R4 Semi LowLoader (Mechanical Susp) - NZ,81,Rua Mudgway,MTE2/81,19IC3A25,,,"22,000kg",6330kg,RE6 Bendix,Compensating Beam,"15"" Ingersol  3 spoked widened by 3""",,,Spoked,,,,,,"12-1/4 x 7-1/2""",,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 rim,,"2""",,,,MTE Made,,,,,,,,,,,,,,
27JFY, 3R4 Hydraulic Suspension - NZ,81,Guthrie Transport,MTE3/81,4DH3022,,,"22,000kg",6030kg,RE6 Bendix,MTE 3R4 Hydraulic deep Beam,"15"" Dana  3 spoked",,,3 Spoke,,,,,,"12-1/4 x 7-1/2""",,,,,Type 24/24,825 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made,,,,,,,,,,,,,"8"" side rail sold to Bill Ward  then adeded 4th axle tare 8976kg GVW 40,000kg",
70JFY,3R4 Semi Tilt Deck (Mech  Susp) - NZ          (1st 3 Axle tilt Deck),81,Reliable Roads,MTE4/81,1MC3ATD27,,,"36,000kg",,RE6 Bendix,Compensating Beam,"15"" Moss ten stud",,,Ten Stud,"HM218248, HM218210","KJH211749, KJH211710",CR46305,,,"12-1/4 x 7""",MQ3 & 4,Moss,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,,1st 3 axle tilt deck goose neck height could be lower,
